Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Daily_Return,Volatility_30d
2024-11-25 05:00:00+00:00,141.9492922302,142.0092725855,135.7810632052,135.9810028076,344941900,0.0,0.0,-0.04177516382228985,0.40896808432753684
2024-11-26 05:00:00+00:00,137.6605277704,139.2600752616,135.631110853,136.8807525635,190287700,0.0,0.0,0.0066167312883629315,0.384564717084811
2024-11-27 05:00:00+00:00,134.9712860205,137.1806591071,131.7622148966,135.3011932373,226370900,0.0,0.0,-0.011539674472985095,0.37575791537218417
2024-11-29 05:00:00+00:00,136.7407930556,139.3100637298,136.0110065693,138.2103729248,141863200,0.0,0.0,0.021501507990381752,0.3800473832782084
2024-12-02 05:00:00+00:00,138.7901953408,140.4097259595,137.7804904279,138.5902557373,171682800,0.0,0.0,0.0027485839482301877,0.37949462162018766
2024-12-03 05:00:00+00:00,138.2203759586,140.4997214018,137.9104672301,140.2198028564,164414000,0.0,0.0,0.011758020868284147,0.36098005389451654
2024-12-04 05:00:00+00:00,141.9593044288,145.7482115464,140.2497877833,145.0984039307,231224300,0.0,0.0,0.03479252555572465,0.3752308847777211
2024-12-05 05:00:00+00:00,145.0784040292,146.5080853351,143.9186529489,145.0284118652,172621200,0.01,0.0,-0.00048237653622573706,0.3652859148636042
2024-12-06 05:00:00+00:00,144.5685145716,145.6682658562,141.2792225371,142.4089813232,188505600,0.0,0.0,-0.018061499180137885,0.36936004959098145
2024-12-09 05:00:00+00:00,138.9397234403,139.9195056535,137.1001279876,138.7797546387,189308600,0.0,0.0,-0.025484535109926765,0.37631731110357464
2024-12-10 05:00:00+00:00,138.979717412,141.789118194,133.7608531345,135.0405883789,210020900,0.0,0.0,-0.026943168112197546,0.3837057108401715
2024-12-11 05:00:00+00:00,137.3300757004,140.1394610799,135.1805501963,139.2796478271,184905200,0.0,0.0,0.0313910025058981,0.39475289591264523
